id,uuid,description,address,data,price,Construction year,Building condition,Asbestos certificate is available,Living area,Bedrooms,Bathrooms,Toilets,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Inspection report of the electrical installation,Planning permission obtained,Subdivision permit,Possible priority purchase right,Flood zone type Non flood,G-score,Tenement building,Website,Surface of the plot,Connection to sewer network,Proceedings for breach of planning regulations,Latest land use designation,Double glazing
20691263.0,e1e38863-1572-4e70-9aba-2e342eb5bf2d,"are you looking for a property with many possibilities in a prime location? then this spacious bungalow is just what you are looking for! this bungalow to be renovated offers an excellent basis to realise your dream home. with 3 bedrooms, a bright living space and a practical garage, this house is perfect for families. the large garden provides a green oasis of calm and offers plenty of space for relaxation or children's play. located in a very good location, close to amenities and with easy connections to surrounding towns. moreover, the impressive american cemetery is just a stone's throw away - a great place for a historical excursion or a quiet walk. guide price: €299,000 renovation obligation applies: within five years of purchase, the epc must achieve min label d. curious about the possibilities? contact ruben for a visit and discover for yourself the potential of this property!this can be done on 0479/ 03 90 17 or mail to ruben@cornelis-partners.be translated with deepl.com (free version)",flanders-fieldweg 31             8790        —    waregem,"[['Construction year', '1977'], ['Number of floors', '2'], ['Building condition', 'To renovate'], ['Street frontage width', '11 m'], ['Number of frontages', '4'], ['Covered parking spaces 1'], ['Outdoor parking spaces 4'], ['Surroundings type Living area (residential, urban or rural)'], ['Asbestos certificate is available', 'Not specified'], ['Living area', '125', 'm²', 'square meters'], ['Living room surface', '31', 'm²', 'square meters'], ['Kitchen surface', '14', 'm²', 'square meters'], ['Bedrooms 3'], ['Bedroom 1 surface', '15', 'm²', 'square meters'], ['Bedroom 2 surface', '12', 'm²', 'square meters'], ['Bedroom 3 surface', '8', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 2'], ['Furnished', 'No'], ['Surface of the plot', '1053', 'm²', 'square meters'], ['Width of the lot on the street', '24 m', 'meters'], ['Gas, water & electricity', 'No'], ['Garden surface', '890', 'm²', 'square meters'], ['Terrace surface', '12', 'm²', 'square meters'], ['Terrace orientation', 'East'], ['Primary energy consumption', '485', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'E'], [], ['This building is subject to a renovation obligation', 'Yes'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['Conformity certification for fuel tanks', 'No'], ['Heating type', 'Fuel oil'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Total ground floor buildable', '156', 'm²', 'square meters'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Flood zone type Non flood zone'], ['P-score', 'B'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Cadastral income', '€ 899', '899 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Hundelgemsesteenweg, 306', '9820', '- Merelbeke'], ['Website', 'http://www.cornelis-partners.be'], ['External reference', '6773304']]",290000,1977,To renovate,Not specified,125 m² square meters,3,1,2,485 kWh/m² kilowatt hour per square meters,E,Not specified,Not specified,Yes,Yes,No,No,zone,A,No,http://www.cornelis-partners.be,1053 m² square meters,,,"Living area (residential, urban or rural)",Yes
20431309.0,70b15c62-02e3-4ca8-b46e-6e73de115ba2,"deze woning werd in 2019 grondig gerenoveerd tot een energiezuinige woning.  indeling: inkomhal, ruime living met eetkamer, volledig ingerichte keuken, berging met toilet, slaapkamer met aansluitend een ruime badkamer.  verdiep: twee slaapkamers waarvan één werd ingericht als dressing.  ruim terras met ruime tuin die uitgeeft in de achterliggende straat.  de woning beschikt over 10 zonnepanelen van 285w en een alarmsysteem. ref. odk-34 renovation obligation: no",polderstraat 71             8670        —    oostduinkerke,"[['Construction year', '1933'], ['Building condition', 'Good'], ['Outdoor parking spaces 2'], ['Asbestos certificate is available', 'No'], ['Living room Yes'], ['Dining room Yes'], ['Bedrooms 3'], ['Bathrooms 1'], ['Toilets 2'], ['Surface of the plot', '711', 'm²', 'square meters'], ['Primary energy consumption', '38', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'A'], 'No text', ['Reference number of the EPC report', '20241118-0003450311-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'No'], ['Heat pump No'], ['Photovoltaic solar panels Yes'], ['Thermic solar panels No'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Obligation to build No'], ['Subdivision permit No'], ['Possible priority purchase right Yes'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'B'], ['G-score', 'B'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Cadastral income', '€ 745', '745 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Leopold II laan, 102', '8670', '- Oostduinkerke'], ['Website', 'http://www.century21.be/lahousse'], ['External reference', 'ODK-34Centu']]",525000,1933,Good,No,,3,1,2,38 kWh/m² kilowatt hour per square meters,A,Not specified,Not specified,Yes,Yes,No,Yes,zone,B,No,http://www.century21.be/lahousse,711 m² square meters,,No,"Living area (residential, urban or rural)",Yes
20723525.0,bb48d409-98c7-4e2c-90de-3f2440f8d9f7,"authentieke kustvilla nabij de duinen van oostduinkerkedeze ruime en lichtrijke villa is rustig gelegen in een villawijk nabij de plaatsduinen. de perfecte combinatie van authenticiteit, lichtinval, ruimte en rust maken van deze villa het verblijf aan zee. u kunt deze naar hartenlust inrichten en er een droomwoning van maken. indeling van de villa is als volgt:inkomhal, toilet, leefruimte, keuken met toegang tot garage en tuin, gelijkvloerse slaapkamer met douchekamer, gang, 3 slaapkamers waarvan 1 met berging, badkamer. enkele troeven: topligging nabij natuur4 slaapkamers en 2 badkamersgrote bewoonbare oppervlaktezonnige tuin  renovation obligation: unknown",robert buylestraat 20             8670        —    oostduinkerke,"[['Construction year', '1999'], ['Building condition', 'Good'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living area', '197', 'm²', 'square meters'], ['Living room Yes'], ['Kitchen type', 'Installed'], ['Bedrooms 4'], ['Bathrooms 2'], ['Furnished', 'No'], ['Surface of the plot', '586', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Primary energy consumption', '257', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'C'], [], ['Reference number of the EPC report', '20220325-0002571594-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['As built plan', 'No'], ['Heating type', 'Gas'], ['Heat pump No'], ['Photovoltaic solar panels No'], ['Thermic solar panels No'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Obligation to build No'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'B'], ['G-score', 'B'], ['Latest land use designation', 'Extended residential area'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'R. Orlentpromenade 13/00.01', '8620', '- Nieuwpoort'], ['Website', 'http://www.vlaemynck.be'], ['External reference', 'Robert Buylestraat 20 Oostduinkerke TKC']]",635000,1999,Good,No,197 m² square meters,4,2,,257 kWh/m² kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Yes,,No,zone,B,No,http://www.vlaemynck.be,586 m² square meters,Connected,No,Extended residential area,Yes
20587513.0,191e2459-9c48-4562-8911-a2d9925bb09f,"welcome to this magnificent home, a true dream for those looking for space, tranquility and beautiful rural views. situated on a generous 2310 m² plot, this home offers an unparalleled combination of comfort and possibilities. inside you will find a large volume of living space, ideal for families or those looking for a home with extra potential. with four spacious bedrooms and two bathrooms, there is plenty of room for each family member to enjoy privacy and comfort. the spacious detached garage with attic storage offers not only space for a car, but also numerous possibilities for storage or a hobby room. the beautiful garden with wide views of the rural surroundings is an oasis of tranquility. here you will enjoy sunny days, relaxing evenings and endless inspiration. this property is a unique opportunity for those who dream of space, nature and a home with character. do not wait any longer and schedule your viewing today with nick at 0472/78.57.67, nick@cornelis-partners.be or the contact form, and we will be happy to see you soon.",oosthoek 23             9968        —    oosteeklo,"[['Neighbourhood or locality', 'GROOT GENT'], ['Construction year', '1986'], ['Building condition', 'Good'], ['Street frontage width', '13 m'], ['Number of frontages', '4'], ['Covered parking spaces 1'], ['Outdoor parking spaces 2'], ['Surroundings type Urban'], ['Asbestos certificate is available', 'Yes'], ['Living area', '196', 'm²', 'square meters'], ['Living room surface', '45', 'm²', 'square meters'], ['Kitchen type', 'Installed'], ['Kitchen surface', '16', 'm²', 'square meters'], ['Bedrooms 4'], ['Bedroom 1 surface', '16', 'm²', 'square meters'], ['Bedroom 2 surface', '18', 'm²', 'square meters'], ['Bedroom 3 surface', '12', 'm²', 'square meters'], ['Bedroom 4 surface', '14', 'm²', 'square meters'], ['Bathrooms 2'], ['Shower rooms 1'], ['Toilets 2'], ['Laundry room', 'Yes'], ['Basement Yes'], ['Furnished', 'No'], ['Surface of the plot', '2310', 'm²', 'square meters'], ['Width of the lot on the street', '13 m', 'meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'No'], ['Terrace Yes'], ['Terrace orientation', 'South'], ['Primary energy consumption', '358', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'D'], [], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'Yes, conform'], ['Conformity certification for fuel tanks', 'Yes, conform'], ['Heating type', 'Fuel oil'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Total ground floor buildable', '165', 'm²', 'square meters'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Cadastral income', '€ 996', '996 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Hundelgemsesteenweg, 306', '9820', '- Merelbeke'], ['Website', 'http://www.cornelis-partners.be'], ['External reference', '6350676']]",625000,1986,Good,Yes,196 m² square meters,4,2,2,358 kWh/m² kilowatt hour per square meters,D,Not specified,Not specified,Yes,Yes,No,No,zone,A,No,http://www.cornelis-partners.be,2310 m² square meters,Connected,No,"Living area (residential, urban or rural)",Yes
20708102.0,8c660271-f9fd-44ba-b984-eb92309106f7,"op een landelijke ligging met een vlotte bereikbaarheid in het hart van de vlaamse ardennen bevindt zich deze aangename woonst. deze eigendom kan mits enkele moderniseringen uitgroeien tot de ideale gezinswoning. extra troef: ruime inpandige garage. daarenboven is er naast het aangename woonvolume een aanvulling buitenshuis met een aangename tuin.het interieur is onderverdeeld in een inkomhal met gastentoilet en berging, woonkamer met naastliggende keuken en veranda, meerdere bergruimtes, een nachthall, 3 slaapkamers, een badkamer en een zolder die dienst kan doen als woonuitbreiding mits het plaatsen van een vaste trap. aan de zijkant van de woning is voldoende parkeergelegenheid aanwezig. het gazon biedt mogelijkheden om te relaxeren en tot rust te komen. adres: rekegemstraat 13 te zwalm epc: 548 kwh/m², g-score en p-score a , renovatieplicht van toepassing. renovation obligation: yes",rekegemstraat 13             9630        —    zwalm,"[['Construction year', '1970'], ['Number of floors', '2'], ['Building condition', 'To renovate'], ['Street frontage width', '8 m'], ['Number of frontages', '4'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'Yes'], ['Living area', '226', 'm²', 'square meters'], ['Living room surface', '42', 'm²', 'square meters'], ['Kitchen surface', '16', 'm²', 'square meters'], ['Bedrooms 3'], ['Bedroom 1 surface', '18', 'm²', 'square meters'], ['Bedroom 2 surface', '19', 'm²', 'square meters'], ['Bedroom 3 surface', '9', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 1'], ['Laundry room', 'Yes'], ['Attic Yes'], ['Surface of the plot', '805', 'm²', 'square meters'], ['Width of the lot on the street', '24 m', 'meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Primary energy consumption', '458', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'E'], [], ['This building is subject to a renovation obligation', 'Yes'], ['Reference number of the EPC report', '20220718-0002636242-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['Heating type', 'Gas'], ['Heat pump No'], ['Photovoltaic solar panels No'], ['Thermic solar panels No'], ['Double glazing', 'No'], ['Total ground floor buildable', '208', 'm²', 'square meters'], ['Obligation to build No'], ['Possible priority purchase right No'], ['P-score', 'A'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Dokter Honore Dewolfstraat 23', '9700', '- Oudenaarde'], ['Website', 'http://www.nobels.be'], ['External reference', '4027648']]",289000,1970,To renovate,Yes,226 m² square meters,3,1,1,458 kWh/m² kilowatt hour per square meters,E,Not specified,Not specified,Yes,,,No,,A,No,http://www.nobels.be,805 m² square meters,Connected,,"Living area (residential, urban or rural)",No
20725217.0,b8db8c74-41c8-4c01-848f-e129d940b52f,no description,warandestraat 7             8560        —    wevelgem,"[['Available as of', 'Immediately'], ['Building condition', 'As new'], ['Covered parking spaces 2'], ['Surroundings type Fitted out'], ['Asbestos certificate is available', 'Not specified'], ['Living area', '329', 'm²', 'square meters'], ['Living room Yes'], ['Bedrooms 4'], ['Dressing room', 'No'], ['Bathrooms 2'], ['Toilets 3'], ['Armored door No'], ['Surface of the plot', '320', 'm²', 'square meters'], ['Land is facing street No'], ['Wooded land No'], ['Plot at rear No'], ['Flat land Yes'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Terrace Yes'], ['Primary energy consumption', '378', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'D'], [], ['Reference number of the EPC report', '20231121-0003042816-RES-2'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Double glazing', 'No'], ['Planning permission obtained Yes'], ['Type of building', 'All kind'], ['Obligation to build No'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'D'], ['G-score', 'D'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Tenement building Yes'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', '1a Broelkaai', '8500', '- Kortrijk'], ['Website', 'http://www.bricx.be'], ['External reference', 'BK/EVK/TK/0355']]",450000,,As new,Not specified,329 m² square meters,4,2,3,378 kWh/m² kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Yes,No,No,zone,D,Yes,http://www.bricx.be,320 m² square meters,Connected,No,"Living area (residential, urban or rural)",No
20714055.0,bffd6ee9-e2f7-4812-8beb-758b7a54af7f,"sorry, there is no english translation. moerbeke-koewacht: rustig gelegen bungalow op 1.128m² grond  gelegen in het rustige koewacht, in het begin van een landelijk straatje op een breed perceel grond met een brede oprit en een vrijstaande garage. de woning is ruim, goed onderhouden en heel praktisch ingedeeld. indeling: ruime inkomhal, grote, verzorgde woonkamer met veel licht en een gezellige houtcassette, grote ingerichte leefkeuken (vaatwas, koelkast, oven, keramisch vuur), achterhal met toilet en wasplaats met cv en vaste bergkasten, 3 ruime slaapkamers in laminaat, badkamer met douche en meubel + toilet. tevens is er een bergzolder voor stockage. achteraan is een grote veranda, een aangelegd terras en een siervijver. voorzieningen: centrale verwarming op stookolie over de hele woning, ramen pvc dubbel glas en rolluiken -deels elektrisch- (slaapkamer-ramen nog enkel glas). door deze eenvoudige ingrepen zakt het epc label onder de 400 (label d): zoldervloer met 18cm isoleren + 5500 wp. aan zonnepanelen op het dak. interesse, laat je zeker horen en neem contact op 0477.56.00.45.",bergstraat 79             9180        —    moerbeke,"[['Construction year', '1970'], ['Building condition', 'Good'], ['Street frontage width', '15 m'], ['Number of frontages', '4'], ['Covered parking spaces 1'], ['Outdoor parking spaces 5'], ['Asbestos certificate is available', 'No'], ['Living area', '180', 'm²', 'square meters'], ['Living room surface', '42', 'm²', 'square meters'], ['How many fireplaces? 1'], ['Kitchen type', 'Installed'], ['Kitchen surface', '18', 'm²', 'square meters'], ['Bedrooms 3'], ['Bedroom 1 surface', '15', 'm²', 'square meters'], ['Bedroom 2 surface', '13', 'm²', 'square meters'], ['Bedroom 3 surface', '10', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 2'], ['Office surface', '10', 'm²', 'square meters'], ['Office Yes'], ['Attic Yes'], ['Surface of the plot', '1128', 'm²', 'square meters'], ['Width of the lot on the street', '30 m', 'meters'], ['Gas, water & electricity', 'No'], ['Garden surface', '200', 'm²', 'square meters'], ['Garden orientation', 'South West'], ['Terrace surface', '30', 'm²', 'square meters'], ['Primary energy consumption', '600', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'F'], 'No text', ['This building is subject to a renovation obligation', 'Yes'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'No'], ['Conformity certification for fuel tanks', 'Not specified'], ['Heating type', 'Fuel oil'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Subdivision permit Yes'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Dorpsstraat, 21', '9190', '- Stekene'], ['Website', 'http://www.vanhoyevastgoed.be'], ['External reference', '9584 - 1691784']]",398000,1970,Good,No,180 m² square meters,3,1,2,600 kWh/m² kilowatt hour per square meters,F,Not specified,Not specified,Yes,Yes,Yes,No,zone,A,No,http://www.vanhoyevastgoed.be,1128 m² square meters,,No,"Living area (residential, urban or rural)",Yes
20723723.0,5327fa9f-cbbc-41a6-84c2-a5a3b831e4e5,"sorry, there is no english translation. volledig afgewerkte totaalrenovatie in doodlopende straat!  deze prachtig gerenoveerde woning is gelegen op het einde van een zeer rustige doodlopende straat in brakel. de woning werd volledig afgewerkt, inclusief schilderwerken, verlichting en terras en tuin.  de indeling is als volgt: op het gelijkvloers een ruime inkomhal/bureauruimte/logeerkamer, living, eetplaats en keuken, apart toilet. ruimte voor wasmachine en droogkast voorzien. uitzicht op het ruime terras en volledig aangelegde tuin. er is een praktische kelder.  eerste verdieping: nachthal, apart toilet, ruime slaapkamer en badkamer (ligbad, inloopdouche en lavabo). op de tweede verdieping bevindt zich een zolderkamer met ingebouwde kasten.  epc b, elektriciteit conform, asbestveilig, volledig instapklaar.  voor een bezoek gelieve op de advertentie te reageren, wij bellen u zelf op om een bezoek in te plannen.",9660        —    brakel         ask for the exact address,"[['Available as of', 'After signing the deed'], ['Construction year', '1936'], ['Building condition', 'Just renovated'], ['Asbestos certificate is available', 'No'], ['Living area', '122', 'm²', 'square meters'], ['Living room surface', '34', 'm²', 'square meters'], ['Kitchen type', 'Installed'], ['Kitchen surface', '16', 'm²', 'square meters'], ['Bedrooms 2'], ['Bedroom 1 surface', '14', 'm²', 'square meters'], ['Bedroom 2 surface', '14', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 2'], ['Basement Yes'], ['Surface of the plot', '197', 'm²', 'square meters'], ['Width of the lot on the street', '4 m', 'meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Terrace surface', '22', 'm²', 'square meters'], ['Primary energy consumption', '155', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'B'], [], ['Reference number of the EPC report', '20250312-0003550956-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'No'], ['Conformity certification for fuel tanks', 'Not specified'], ['Heating type', 'Gas'], ['Double glazing', 'Yes'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Cadastral income', '€ 223', '223 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Geraardsbergenstraat 13A', '9570', '- Lierde'], ['Website', 'http://www.immodesmet.be'], ['External reference', '8340 - DS25/028']]",299000,1936,Just renovated,No,122 m² square meters,2,1,2,155 kWh/m² kilowatt hour per square meters,B,Not specified,Not specified,Yes,,No,No,zone,A,No,http://www.immodesmet.be,197 m² square meters,Connected,,,Yes
20712120.0,4db89785-c75c-441c-9a6c-8db0d7c8c833,"deze te renoveren woning is rustig gelegen vlakbij het centrum van beernem. de woning omvat een lichtrijke inkomhal met toilet, kelder en vestiaire, grote keuken, ruime leefruimte met aansluitend de veranda. door de diverse raampartijen in de woonkamer is er veel licht aanwezig en is er zicht op de tuin en koer. vanuit de veranda is er toegang tot de wasplaats, garage en de tuin. op de eerste verdieping zijn er 3 slaapkamers, dressing /bergruimte en badkamer. er is een grote zolder toegankelijk met zolderluik. deze instapklare lichte woning bevat een ruime tuin, voldoende parkeerplaatsen. voor meer informatie of het inplannen van een plaats bezoek, contacteer ons via  - 050/550.750 of info@perspectiefvastgoed.be renovation obligation: yes",albrecht rodenbachstraat 9             8730        —    beernem,"[['Building condition', 'To renovate'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living area', '161', 'm²', 'square meters'], ['Bedrooms 3'], ['Surface of the plot', '271', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Primary energy consumption', '697', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'F'], [], ['This building is subject to a renovation obligation', 'Yes'], ['Reference number of the EPC report', '20250311-0003549995-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['Heat pump No'], ['Photovoltaic solar panels Yes'], ['Thermic solar panels No'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Obligation to build No'], ['Subdivision permit Yes'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Wingene Steenweg 35', '8730', '- Beernem'], ['Website', 'http://www.perspectiefvastgoed.be'], ['External reference', '4014/PERSPECTIEF@BEERNEMC']]",258000,,To renovate,No,161 m² square meters,3,,,697 kWh/m² kilowatt hour per square meters,F,Not specified,Not specified,Yes,Yes,Yes,No,zone,A,No,http://www.perspectiefvastgoed.be,271 m² square meters,Connected,No,"Living area (residential, urban or rural)",Yes
20723702.0,6370a740-d407-4acb-ba3b-2afa9d5b31df,"quietly located semi-detached house with garden in geraardsbergen  the property is located in moerbeke near all amenities such as public transport, schools and shops and on the border with pajottegem. it has already been partly renovated and has a new roof and new windows.  on the ground floor are the entrance hall, living room of 27.5m² and a kitchen overlooking the terrace and garden and guest toilet. there is also a cellar.  upstairs there is the landing with 2 bedrooms, storage room and laundry room and the renovated bathroom with bath, washbasin and toilet.   the attic is already fitted with velux windows and could be converted into a 3rd bedroom.  beautiful garden with spacious terrace, as well as a driveway for the car provided.  norenovation obligation and asbestos safe!  please respond to the ad, we will call you to schedule a visit.",wilgierlaan 6             9500        —    geraardsbergen,"[['Available as of', 'After signing the deed'], ['Construction year', '1956'], ['Building condition', 'To be done up'], ['Street frontage width', '8 m'], ['Outdoor parking spaces 2'], ['Asbestos certificate is available', 'Yes'], ['Living area', '135', 'm²', 'square meters'], ['Living room surface', '27', 'm²', 'square meters'], ['Kitchen type', 'Semi equipped'], ['Kitchen surface', '6', 'm²', 'square meters'], ['Bedrooms 3'], ['Bedroom 1 surface', '13', 'm²', 'square meters'], ['Bedroom 2 surface', '9', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 2'], ['Basement Yes'], ['Attic Yes'], ['Surface of the plot', '751', 'm²', 'square meters'], ['Width of the lot on the street', '15 m', 'meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Primary energy consumption', '358', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'D'], [], ['Reference number of the EPC report', '20240812-0003338777-RES-2'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'No'], ['Conformity certification for fuel tanks', 'Not specified'], ['Heating type', 'Gas'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Subdivision permit Yes'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'B'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Cadastral income', '€ 396', '396 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Geraardsbergenstraat 13A', '9570', '- Lierde'], ['Website', 'http://www.immodesmet.be'], ['External reference', '8383 - DS25/027']]",250000,1956,To be done up,Yes,135 m² square meters,3,1,2,358 kWh/m² kilowatt hour per square meters,D,Not specified,Not specified,Yes,Yes,Yes,No,zone,A,No,http://www.immodesmet.be,751 m² square meters,Connected,No,"Living area (residential, urban or rural)",Yes
